oasis ids,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,period 9,period 10,period 11,period 12,Text files
110archa1-221647,,,,,,,,,,,,,
allenarc1-51281,,post medieval,,,,,,,,,,,
aocarcha1-254491,,post medieval,,,,,,,,,,,
aocarcha1-52827,,post medieval,,,,,,,,,,,
camerona1-179742,,post medieval,,,,,,,,,,,
cfaarcha1-102521,,post medieval,,,,,,,,,,,
cfaarcha1-109021,,post medieval,,,,,,,,,,,
cfaarcha1-130981,,post medieval,,,,,,,,,,,
cfaarcha1-139800,,post medieval,,,,,,,,,,,
cfaarcha1-140188,,post medieval,roman,,,,,,,,,,
cfaarcha1-140357,,post medieval,,,,,,,,,,,
cfaarcha1-140639,,post medieval,,,,,,,,,,,
cfaarcha1-163502,,post medieval,,,,,,,,,,,
cfaarcha1-165121,,post medieval,,,,,,,,,,,
cfaarcha1-165324,,post medieval,,,,,,,,,,,
cfaarcha1-165325,,post medieval,,,,,,,,,,,
cfaarcha1-168458,,post medieval,,,,,,,,,,,
cfaarcha1-179329,,post medieval,,,,,,,,,,,
cfaarcha1-179400,,post medieval,,,,,,,,,,,
cfaarcha1-179433,,post medieval,,,,,,,,,,,
cfaarcha1-182578,,post medieval,,,,,,,,,,,
cfaarcha1-182873,,post medieval,,,,,,,,,,,
cfaarcha1-184376,,post medieval,,,,,,,,,,,
cfaarcha1-191799,,post medieval,,,,,,,,,,,
cfaarcha1-191937,,post medieval,,,,,,,,,,,
cfaarcha1-200630,,post medieval,,,,,,,,,,,
cfaarcha1-206247,,post medieval,,,,,,,,,,,
cfaarcha1-206286,,post medieval,,,,,,,,,,,
cfaarcha1-207660,,post medieval,,,,,,,,,,,
cfaarcha1-210048,,post medieval,,,,,,,,,,,
cfaarcha1-212648,,post medieval,,,,,,,,,,,
cfaarcha1-212654,,post medieval,,,,,,,,,,,
cfaarcha1-217561,,post medieval,,,,,,,,,,,
cfaarcha1-226031,,post medieval,,,,,,,,,,,
cfaarcha1-239230,,post medieval,,,,,,,,,,,
cfaarcha1-258835,,post medieval,,,,,,,,,,,
cfaarcha1-260234,,post medieval,,,,,,,,,,,
cfaarcha1-263834,,post medieval,roman,,,,,,,,,,
cfaarcha1-263967,,post medieval,roman,,,,,,,,,,
cfaarcha1-264574,,post medieval,,,,,,,,,,,
cfaarcha1-51409,,post medieval,,,,,,,,,,,
cfaarcha1-52081,,post medieval,,,,,,,,,,,
cfaarcha1-73973,,post medieval,,,,,,,,,,,
cfaarcha1-74224,,post medieval,,,,,,,,,,,
cfaarcha1-77839,,post medieval,,,,,,,,,,,
derekhal1-132034,,roman,,,,,,,,,,,
derekhal1-153328,,post medieval,,,,,,,,,,,
eastloth3-131840,,post medieval,,,,,,,,,,,
guardarc1-113165,,post medieval,,,,,,,,,,,
guardarc1-119340,,roman,,,,,,,,,,,
guardarc1-169736,,post medieval,,,,,,,,,,,
guardarc1-234271,,post medieval,,,,,,,,,,,
headland1-103470,,post medieval,,,,,,,,,,,
headland1-103899,,post medieval,,,,,,,,,,,
headland1-112551,,post medieval,,,,,,,,,,,
headland1-186362,,post medieval,,,,,,,,,,,
headland1-93639,,post medieval,,,,,,,,,,,
heritage1-90710,,post medieval,,,,,,,,,,,
highland4-77795,,post medieval,,,,,,,,,,,
jacobs1-57269,,post medieval,,,,,,,,,,,
jacobs1-57271,,post medieval,,,,,,,,,,,
kirkdale1-310869,,post medieval,,,,,,,,,,,
mas1-207403,,post medieval,,,,,,,,,,,
mas1-264106,,post medieval,,,,,,,,,,,
molas1-8584,,post medieval,,,,,,,,,,,
northpen3-63488,,post medieval,,,,,,,,,,,
orkneyre1-133558,,post medieval,,,,,,,,,,,
preconst3-123371,,post medieval,,,,,,,,,,,
rathmell1-124977,,post medieval,,,,,,,,,,,
rathmell1-135707,,roman,,,,,,,,,,,
rathmell1-39073,,post medieval,,,,,,,,,,,
scotiaar1-130569,,post medieval,,,,,,,,,,,
scotiaar1-321813,,post medieval,,,,,,,,,,,
westcoas1-100236,,post medieval,,,,,,,,,,,
westcoas1-131177,,post medieval,,,,,,,,,,,
westcoas1-159249,,post medieval,,,,,,,,,,,
aberdeen3-48512,20th century,post medieval,,,,,,,,,,,
aberdeen3-48521,20th century,,,,,,,,,,,,
aberdeen3-63989,20th century,,,,,,,,,,,,
abherita1-195791,20th century,,,,,,,,,,,,
abherita1-195806,20th century,,,,,,,,,,,,
abherita1-195943,20th century,early prehistoric,roman,,,,,,,,,,
abherita1-208072,20th century,,,,,,,,,,,,
abherita1-231870,20th century,,,,,,,,,,,,
abherita1-239661,20th century,,,,,,,,,,,,
abherita1-257552,20th century,,,,,,,,,,,,
abherita1-257810,20th century,,,,,,,,,,,,
acarchae2-114597,20th century,post medieval,,,,,,,,,,,
acarchae2-115626,20th century,post medieval,,,,,,,,,,,
acarchae2-120404,20th century,,,,,,,,,,,,
acarchae2-124358,20th century,,,,,,,,,,,,
acarchae2-127600,20th century,,,,,,,,,,,,
acarchae2-127718,20th century,,,,,,,,,,,,
acarchae2-128420,20th century,,,,,,,,,,,,
acarchae2-132796,20th century,post medieval,,,,,,,,,,,
acarchae2-133209,20th century,,,,,,,,,,,,
acarchae2-134321,20th century,post medieval,,,,,,,,,,,
acarchae2-135956,20th century,post medieval,,,,,,,,,,,
acarchae2-136759,20th century,,,,,,,,,,,,
acarchae2-136777,20th century,,,,,,,,,,,,
acarchae2-137952,20th century,post medieval,,,,,,,,,,,
acarchae2-140045,20th century,,,,,,,,,,,,
acarchae2-140223,20th century,post medieval,,,,,,,,,,,
acarchae2-141476,20th century,post medieval,,,,,,,,,,,
acarchae2-141986,20th century,,,,,,,,,,,,
acarchae2-145135,20th century,post medieval,,,,,,,,,,,
acarchae2-145651,20th century,post medieval,,,,,,,,,,,
acarchae2-150742,20th century,post medieval,,,,,,,,,,,
acarchae2-152015,20th century,post medieval,,,,,,,,,,,
acarchae2-152671,20th century,,,,,,,,,,,,
acarchae2-156760,20th century,post medieval,,,,,,,,,,,
acarchae2-159778,20th century,,,,,,,,,,,,
acarchae2-164058,20th century,post medieval,,,,,,,,,,,
acarchae2-164079,20th century,post medieval,,,,,,,,,,,
acarchae2-164228,20th century,,,,,,,,,,,,
acarchae2-164517,20th century,post medieval,,,,,,,,,,,
acarchae2-167239,20th century,,,,,,,,,,,,
acarchae2-171085,20th century,,,,,,,,,,,,
acarchae2-173454,20th century,,,,,,,,,,,,
acarchae2-174685,20th century,post medieval,,,,,,,,,,,
acarchae2-175448,20th century,,,,,,,,,,,,
acarchae2-176005,20th century,,,,,,,,,,,,
acarchae2-179572,20th century,post medieval,,,,,,,,,,,
acarchae2-180717,20th century,,,,,,,,,,,,
acarchae2-186788,20th century,post medieval,,,,,,,,,,,
acarchae2-187618,20th century,post medieval,,,,,,,,,,,
acarchae2-190559,20th century,post medieval,,,,,,,,,,,
acarchae2-190944,20th century,post medieval,,,,,,,,,,,
acarchae2-199200,20th century,post medieval,,,,,,,,,,,
acarchae2-203662,20th century,,,,,,,,,,,,
acarchae2-215666,20th century,post medieval,,,,,,,,,,,
acarchae2-216456,20th century,post medieval,,,,,,,,,,,
acarchae2-229434,20th century,post medieval,,,,,,,,,,,
acarchae2-250519,20th century,,,,,,,,,,,,
acarchae2-256917,20th century,post medieval,,,,,,,,,,,
acarchae2-259581,20th century,post medieval,,,,,,,,,,,
acarchae2-261732,20th century,post medieval,,,,,,,,,,,
acarchae2-272789,20th century,post medieval,,,,,,,,,,,
acarchae2-66511,20th century,,,,,,,,,,,,
acarchae2-98208,20th century,later prehistoric,post medieval,,,,,,,,,,
acarchae2-98518,20th century,,,,,,,,,,,,
accessca1-158436,20th century,bronze age,early medieval,medieval,post medieval,roman,,,,,,,
accessca1-158447,20th century,bronze age,medieval,neolithic,post medieval,roman,,,,,,,
accessca1-158480,20th century,early iron age,early medieval,late bronze age,medieval,post medieval,roman,,,,,,
accessca1-158483,20th century,medieval,post medieval,,,,,,,,,,
accessca1-243877,20th century,post medieval,roman,,,,,,,,,,
acearcha1-82472,20th century,medieval,,,,,,,,,,,
addymana1-196629,20th century,,,,,,,,,,,,
addymana1-262216,20th century,,,,,,,,,,,,
addymana1-74443,20th century,,,,,,,,,,,,
aeonarch1-195576,20th century,,,,,,,,,,,,
albionar1-101930,20th century,post medieval,,,,,,,,,,,
albionar1-104381,20th century,,,,,,,,,,,,
albionar1-107583,20th century,,,,,,,,,,,,
albionar1-109634,20th century,,,,,,,,,,,,
albionar1-114764,20th century,,,,,,,,,,,,
albionar1-116024,20th century,,,,,,,,,,,,
albionar1-116879,20th century,post medieval,,,,,,,,,,,
albionar1-120756,20th century,early iron age,late iron age,middle iron age,roman,,,,,,,,
albionar1-122218,20th century,post medieval,,,,,,,,,,,
albionar1-129602,20th century,post medieval,,,,,,,,,,,
albionar1-131861,20th century,post medieval,,,,,,,,,,,
albionar1-131925,20th century,medieval,post medieval,,,,,,,,,,
albionar1-139910,20th century,post medieval,,,,,,,,,,,
albionar1-141588,20th century,,,,,,,,,,,,
albionar1-141591,20th century,,,,,,,,,,,,
albionar1-145863,20th century,post medieval,,,,,,,,,,,
albionar1-146124,20th century,,,,,,,,,,,,
albionar1-15001,20th century,medieval,post medieval,,,,,,,,,,
albionar1-15007,20th century,,,,,,,,,,,,
albionar1-150806,20th century,iron age,medieval,,,,,,,,,,
albionar1-151094,20th century,roman,,,,,,,,,,,
albionar1-153651,20th century,medieval,post medieval,,,,,,,,,,
albionar1-15366,20th century,post medieval,,,,,,,,,,,
albionar1-154364,20th century,early medieval,iron age,roman,,,,,,,,,
albionar1-157395,20th century,medieval,post medieval,,,,,,,,,,
albionar1-159939,20th century,,,,,,,,,,,,
albionar1-160871,20th century,post medieval,,,,,,,,,,,
albionar1-161816,20th century,early medieval,,,,,,,,,,,
albionar1-16331,20th century,post medieval,,,,,,,,,,,
albionar1-167242,20th century,post medieval,,,,,,,,,,,
albionar1-168621,20th century,,,,,,,,,,,,
albionar1-16868,20th century,medieval,post medieval,,,,,,,,,,
albionar1-16970,20th century,medieval,post medieval,roman,,,,,,,,,
albionar1-170607,20th century,early medieval,post medieval,roman,,,,,,,,,
albionar1-175692,20th century,,,,,,,,,,,,
albionar1-179684,20th century,medieval,roman,,,,,,,,,,
albionar1-180476,20th century,,,,,,,,,,,,
albionar1-18132,20th century,,,,,,,,,,,,
albionar1-18139,20th century,,,,,,,,,,,,
albionar1-189455,20th century,bronze age,post medieval,roman,,,,,,,,,
albionar1-19189,20th century,medieval,,,,,,,,,,,
albionar1-19270,20th century,medieval,,,,,,,,,,,
albionar1-192870,20th century,,,,,,,,,,,,
albionar1-19424,20th century,roman,,,,,,,,,,,
albionar1-19507,20th century,medieval,post medieval,,,,,,,,,,
albionar1-198506,20th century,post medieval,,,,,,,,,,,
albionar1-209444,20th century,early medieval,,,,,,,,,,,
albionar1-27521,20th century,medieval,post medieval,,,,,,,,,,
albionar1-27528,20th century,post medieval,,,,,,,,,,,
albionar1-33447,20th century,,,,,,,,,,,,
albionar1-33512,20th century,,,,,,,,,,,,
albionar1-35494,20th century,,,,,,,,,,,,
albionar1-36367,20th century,,,,,,,,,,,,
albionar1-40230,20th century,medieval,post medieval,,,,,,,,,,
albionar1-41351,20th century,post medieval,,,,,,,,,,,
albionar1-41352,20th century,,,,,,,,,,,,
albionar1-41362,20th century,early medieval,post medieval,,,,,,,,,,
albionar1-45993,20th century,,,,,,,,,,,,
albionar1-48175,20th century,medieval,post medieval,,,,,,,,,,
albionar1-48199,20th century,post medieval,,,,,,,,,,,
albionar1-49420,20th century,post medieval,,,,,,,,,,,
albionar1-49444,20th century,,,,,,,,,,,,
albionar1-50552,20th century,,,,,,,,,,,,
albionar1-50742,20th century,,,,,,,,,,,,
albionar1-52569,20th century,,,,,,,,,,,,
albionar1-54051,20th century,early medieval,medieval,,,,,,,,,,
albionar1-55543,20th century,,,,,,,,,,,,
albionar1-56702,20th century,iron age,late iron age,,,,,,,,,,
albionar1-57003,20th century,post medieval,roman,,,,,,,,,,
albionar1-57006,20th century,roman,,,,,,,,,,,
albionar1-57026,20th century,early medieval,,,,,,,,,,,
albionar1-57823,20th century,,,,,,,,,,,,
albionar1-57831,20th century,,,,,,,,,,,,
albionar1-58244,20th century,,,,,,,,,,,,
albionar1-58341,20th century,,,,,,,,,,,,
albionar1-59722,20th century,post medieval,,,,,,,,,,,
albionar1-63102,20th century,post medieval,,,,,,,,,,,
albionar1-63103,20th century,medieval,post medieval,,,,,,,,,,
albionar1-63128,20th century,,,,,,,,,,,,
albionar1-64318,20th century,,,,,,,,,,,,
albionar1-67265,20th century,,,,,,,,,,,,
albionar1-70647,20th century,,,,,,,,,,,,
albionar1-78982,20th century,roman,,,,,,,,,,,
albionar1-80645,20th century,,,,,,,,,,,,
albionar1-80697,20th century,,,,,,,,,,,,
albionar1-81440,20th century,post medieval,,,,,,,,,,,
albionar1-81812,20th century,,,,,,,,,,,,
albionar1-83492,20th century,early medieval,iron age,roman,,,,,,,,,
albionar1-84773,20th century,,,,,,,,,,,,
albionar1-90556,20th century,post medieval,,,,,,,,,,,
albionar1-90668,20th century,medieval,,,,,,,,,,,
albionar1-91804,20th century,early medieval,post medieval,,,,,,,,,,
albionar1-94384,20th century,,,,,,,,,,,,
alderarc1-100909,20th century,roman,,,,,,,,,,,
alderarc1-104634,20th century,medieval,,post medieval,,,,,,,,,
alderarc1-112895,20th century,,,,,,,,,,,,
alderarc1-119058,20th century,,,,,,,,,,,,
alderarc1-119271,20th century,medieval,,,,,,,,,,,
alderarc1-119543,20th century,early medieval,,,,,,,,,,,
alderarc1-131705,20th century,,,,,,,,,,,,
alderarc1-132248,20th century,post medieval,,,,,,,,,,,
alderarc1-132250,20th century,post medieval,,,,,,,,,,,
alderarc1-134451,20th century,,,,,,,,,,,,
alderarc1-145366,20th century,post medieval,,,,,,,,,,,
alderarc1-163302,20th century,,,,,,,,,,,,
alderarc1-165460,20th century,post medieval,,,,,,,,,,,
alderarc1-169890,20th century,,,,,,,,,,,,
alderarc1-178909,20th century,,,,,,,,,,,,
alderarc1-179037,20th century,post medieval,,,,,,,,,,,
alderarc1-179138,20th century,medieval,,post medieval,,,,,,,,,
alderarc1-194749,20th century,post medieval,,,,,,,,,,,
alderarc1-208005,20th century,medieval,post medieval,,,,,,,,,,
alderarc1-229842,20th century,post medieval,,,,,,,,,,,
alderarc1-66170,20th century,medieval,,post medieval,,,,,,,,,
alderarc1-66459,20th century,,,,,,,,,,,,
alderarc1-71773,20th century,,,,,,,,,,,,
alderarc1-71789,20th century,medieval,,,,,,,,,,,
alderarc1-73948,20th century,,,,,,,,,,,,
alderarc1-80333,20th century,,,,,,,,,,,,
alderarc1-81917,20th century,,,,,,,,,,,,
alderarc1-83417,20th century,,,,,,,,,,,,
alderarc1-84201,20th century,post medieval,,,,,,,,,,,
allenarc1-100330,20th century,post medieval,,,,,,,,,,,
allenarc1-101706,20th century,,,,,,,,,,,,
allenarc1-105604,20th century,,,,,,,,,,,,
allenarc1-116056,20th century,,,,,,,,,,,,
allenarc1-120658,20th century,,,,,,,,,,,,
allenarc1-121849,20th century,,,,,,,,,,,,
allenarc1-124205,20th century,,,,,,,,,,,,
allenarc1-129010,20th century,medieval,post medieval,roman,,,,,,,,,
allenarc1-129538,20th century,medieval,post medieval,,,,,,,,,,
allenarc1-131304,20th century,,,,,,,,,,,,
allenarc1-131664,20th century,,,,,,,,,,,,
allenarc1-135673,20th century,,,,,,,,,,,,
allenarc1-145641,20th century,,,,,,,,,,,,
allenarc1-152757,20th century,post medieval,,,,,,,,,,,
allenarc1-156815,20th century,early medieval,medieval,post medieval,,,,,,,,,
allenarc1-159168,20th century,,,,,,,,,,,,
allenarc1-166051,20th century,,,,,,,,,,,,
allenarc1-180766,20th century,,,,,,,,,,,,
allenarc1-206326,20th century,,,,,,,,,,,,
allenarc1-211394,20th century,post medieval,,,,,,,,,,,
allenarc1-26545,20th century,,,,,,,,,,,,
allenarc1-36911,20th century,post medieval,,,,,,,,,,,
allenarc1-40526,20th century,,,,,,,,,,,,
allenarc1-53579,20th century,,,,,,,,,,,,
allenarc1-53683,20th century,,,,,,,,,,,,
allenarc1-61238,20th century,,,,,,,,,,,,
allenarc1-65064,20th century,,,,,,,,,,,,
allenarc1-68030,20th century,,,,,,,,,,,,
allenarc1-75807,20th century,,,,,,,,,,,,
allenarc1-80778,20th century,,,,,,,,,,,,
allenarc1-93126,20th century,medieval,post medieval,,,,,,,,,,
allenarc1-98673,20th century,,,,,,,,,,,,
aocarcha1-101066,20th century,post medieval,,,,,,,,,,,
aocarcha1-101278,20th century,post medieval,,,,,,,,,,,
aocarcha1-105529,20th century,,,,,,,,,,,,
aocarcha1-106029,20th century,post medieval,,,,,,,,,,,
aocarcha1-109190,20th century,,,,,,,,,,,,
aocarcha1-109843,20th century,,,,,,,,,,,,
aocarcha1-115408,20th century,post medieval,,,,,,,,,,,
aocarcha1-115803,20th century,,,,,,,,,,,,
aocarcha1-116585,20th century,,,,,,,,,,,,
aocarcha1-117355,20th century,,,,,,,,,,,,
aocarcha1-117441,20th century,,,,,,,,,,,,
aocarcha1-11839,20th century,iron age,,,,,,,,,,,
aocarcha1-119098,20th century,post medieval,,,,,,,,,,,
aocarcha1-119456,20th century,,,,,,,,,,,,
aocarcha1-119960,20th century,,,,,,,,,,,,
aocarcha1-122511,20th century,,,,,,,,,,,,
aocarcha1-12380,20th century,,,,,,,,,,,,
aocarcha1-125357,20th century,,,,,,,,,,,,
aocarcha1-13132,20th century,,,,,,,,,,,,
aocarcha1-135990,20th century,,,,,,,,,,,,
aocarcha1-136341,20th century,,,,,,,,,,,,
aocarcha1-13709,20th century,post medieval,,,,,,,,,,,
aocarcha1-137262,20th century,,,,,,,,,,,,
aocarcha1-137477,20th century,,,,,,,,,,,,
aocarcha1-139545,20th century,,,,,,,,,,,,
aocarcha1-140696,20th century,,,,,,,,,,,,
aocarcha1-15403,20th century,,,,,,,,,,,,
aocarcha1-154858,20th century,,,,,,,,,,,,
aocarcha1-156560,20th century,post medieval,,,,,,,,,,,
aocarcha1-158416,20th century,medieval,,,,,,,,,,,
aocarcha1-159117,20th century,,,,,,,,,,,,
aocarcha1-160275,20th century,,,,,,,,,,,,
aocarcha1-160958,20th century,,,,,,,,,,,,
aocarcha1-161817,20th century,,,,,,,,,,,,
aocarcha1-16500,20th century,post medieval,,,,,,,,,,,
aocarcha1-16504,20th century,,,,,,,,,,,,
aocarcha1-165711,20th century,,,,,,,,,,,,
aocarcha1-165840,20th century,,,,,,,,,,,,
aocarcha1-167104,20th century,,,,,,,,,,,,
aocarcha1-16972,20th century,,,,,,,,,,,,
aocarcha1-174270,20th century,,,,,,,,,,,,
aocarcha1-17953,20th century,,,,,,,,,,,,
aocarcha1-18127,20th century,post medieval,,,,,,,,,,,
aocarcha1-193394,20th century,,,,,,,,,,,,
aocarcha1-19875,20th century,,,,,,,,,,,,
aocarcha1-205315,20th century,,,,,,,,,,,,
aocarcha1-235333,20th century,,,,,,,,,,,,
aocarcha1-23687,20th century,,,,,,,,,,,,
aocarcha1-23743,20th century,,,,,,,,,,,,
aocarcha1-25157,20th century,,,,,,,,,,,,
aocarcha1-27217,20th century,,,,,,,,,,,,
aocarcha1-29172,20th century,,,,,,,,,,,,
aocarcha1-32274,20th century,,,,,,,,,,,,
aocarcha1-32637,20th century,,,,,,,,,,,,
aocarcha1-32947,20th century,post medieval,,,,,,,,,,,
aocarcha1-33015,20th century,,,,,,,,,,,,
aocarcha1-33086,20th century,post medieval,,,,,,,,,,,
aocarcha1-36021,20th century,,,,,,,,,,,,
aocarcha1-36905,20th century,,,,,,,,,,,,
aocarcha1-37141,20th century,,,,,,,,,,,,
aocarcha1-37179,20th century,post medieval,,,,,,,,,,,
aocarcha1-37584,20th century,,,,,,,,,,,,
aocarcha1-38680,20th century,,,,,,,,,,,,
aocarcha1-39262,20th century,,,,,,,,,,,,
aocarcha1-39276,20th century,roman,,,,,,,,,,,
aocarcha1-39527,20th century,,,,,,,,,,,,
aocarcha1-39835,20th century,,,,,,,,,,,,
aocarcha1-40344,20th century,post medieval,,,,,,,,,,,
aocarcha1-40432,20th century,,,,,,,,,,,,
aocarcha1-40492,20th century,,,,,,,,,,,,
aocarcha1-42730,20th century,,,,,,,,,,,,
aocarcha1-42835,20th century,,,,,,,,,,,,
aocarcha1-43666,20th century,,,,,,,,,,,,
aocarcha1-43728,20th century,,,,,,,,,,,,
aocarcha1-47984,20th century,,,,,,,,,,,,
aocarcha1-48610,20th century,,,,,,,,,,,,
aocarcha1-49639,20th century,,,,,,,,,,,,
aocarcha1-50739,20th century,,,,,,,,,,,,
aocarcha1-50799,20th century,post medieval,,,,,,,,,,,
aocarcha1-51578,20th century,,,,,,,,,,,,
aocarcha1-51741,20th century,,,,,,,,,,,,
aocarcha1-52914,20th century,post medieval,,,,,,,,,,,
aocarcha1-53102,20th century,,,,,,,,,,,,
aocarcha1-54500,20th century,,,,,,,,,,,,
aocarcha1-56066,20th century,,,,,,,,,,,,
aocarcha1-56879,20th century,post medieval,,,,,,,,,,,
aocarcha1-57910,20th century,,,,,,,,,,,,
aocarcha1-57922,20th century,,,,,,,,,,,,
aocarcha1-58084,20th century,post medieval,,,,,,,,,,,
aocarcha1-59428,20th century,,,,,,,,,,,,
aocarcha1-59874,20th century,,,,,,,,,,,,
aocarcha1-60532,20th century,,,,,,,,,,,,
aocarcha1-64189,20th century,,,,,,,,,,,,
aocarcha1-65566,20th century,medieval,post medieval,,,,,,,,,,
aocarcha1-65846,20th century,,,,,,,,,,,,
aocarcha1-65877,20th century,post medieval,,,,,,,,,,,
aocarcha1-66135,20th century,,,,,,,,,,,,
aocarcha1-66541,20th century,post medieval,,,,,,,,,,,
aocarcha1-66651,20th century,post medieval,,,,,,,,,,,
aocarcha1-75690,20th century,post medieval,,,,,,,,,,,
aocarcha1-77091,20th century,post medieval,,,,,,,,,,,
aocarcha1-77779,20th century,post medieval,,,,,,,,,,,
aocarcha1-79236,20th century,late bronze age,medieval,post medieval,roman,,,,,,,,
aocarcha1-79781,20th century,medieval,post medieval,,,,,,,,,,
aocarcha1-80363,20th century,post medieval,,,,,,,,,,,
aocarcha1-83636,20th century,post medieval,,,,,,,,,,,
aocarcha1-85747,20th century,medieval,post medieval,,,,,,,,,,
aocarcha1-87370,20th century,,,,,,,,,,,,
aocarcha1-88322,20th century,,,,,,,,,,,,
aocarcha1-90934,20th century,,,,,,,,,,,,
aocarcha1-91520,20th century,,,,,,,,,,,,
aocarcha1-93541,20th century,post medieval,,,,,,,,,,,
aocarcha1-94079,20th century,,,,,,,,,,,,
aocarcha1-94333,20th century,post medieval,,,,,,,,,,,
aocarcha1-96754,20th century,post medieval,,,,,,,,,,,
aocarcha1-9822,20th century,,,,,,,,,,,,
archaeoe1-76362,20th century,medieval,post medieval,,,,,,,,,,
archaeoe1-76501,20th century,post medieval,,,,,,,,,,,
archaeol1-105899,20th century,,,,,,,,,,,,
archaeol11-109079,20th century,,,,,,,,,,,,
archaeol11-109091,20th century,post medieval,,,,,,,,,,,
archaeol1-112174,20th century,,,,,,,,,,,,
archaeol1-113968,20th century,,,,,,,,,,,,
archaeol11-213410,20th century,post medieval,,,,,,,,,,,
archaeol11-21682,20th century,,,,,,,,,,,,
archaeol11-22710,20th century,,,,,,,,,,,,
archaeol1-125548,20th century,post medieval,,,,,,,,,,,
archaeol1-125851,20th century,post medieval,,,,,,,,,,,
archaeol1-134808,20th century,,,,,,,,,,,,
archaeol1-137028,20th century,early medieval,medieval,,,,,,,,,,
archaeol1-158634,20th century,post medieval,,,,,,,,,,,
archaeol11-60366,20th century,,,,,,,,,,,,
archaeol1-162582,20th century,,,,,,,,,,,,
archaeol1-171033,20th century,medieval,,,,,,,,,,,
archaeol1-180593,20th century,post medieval,,,,,,,,,,,
archaeol1-182222,20th century,medieval,,,,,,,,,,,
archaeol1-187351,20th century,,,,,,,,,,,,
archaeol1-190028,20th century,,,,,,,,,,,,
archaeol1-194787,20th century,,,,,,,,,,,,
archaeol1-201644,20th century,,,,,,,,,,,,
archaeol1-202482,20th century,,,,,,,,,,,,
archaeol1-204477,20th century,medieval,post medieval,,,,,,,,,,
archaeol1-23496,20th century,post medieval,,,,,,,,,,,
archaeol1-254221,20th century,,,,,,,,,,,,
archaeol1-25727,20th century,,,,,,,,,,,,
archaeol1-26356,20th century,,,,,,,,,,,,
archaeol1-27193,20th century,post medieval,,,,,,,,,,,
archaeol1-28890,20th century,,,,,,,,,,,,
archaeol1-29108,20th century,post medieval,,,,,,,,,,,
archaeol1-33346,20th century,post medieval,,,,,,,,,,,
archaeol1-36338,20th century,,,,,,,,,,,,
archaeol14-102269,20th century,,,,,,,,,,,,
archaeol14-103973,20th century,,,,,,,,,,,,
archaeol14-112062,20th century,post medieval,,,,,,,,,,,
archaeol14-120343,20th century,,,,,,,,,,,,
archaeol14-158296,20th century,post medieval,,,,,,,,,,,
archaeol1-41612,20th century,,,,,,,,,,,,
archaeol1-42944,20th century,,,,,,,,,,,,
archaeol1-43203,20th century,,,,,,,,,,,,
archaeol14-83850,20th century,post medieval,,,,,,,,,,,
archaeol14-85126,20th century,post medieval,,,,,,,,,,,
archaeol15-159145,20th century,,,,,,,,,,,,
archaeol15-164391,20th century,post medieval,,,,,,,,,,,
archaeol1-51794,20th century,post medieval,,,,,,,,,,,
archaeol1-52729,20th century,medieval,,,,,,,,,,,
archaeol1-54972,20th century,,,,,,,,,,,,
archaeol1-55709,20th century,post medieval,,,,,,,,,,,
archaeol1-58736,20th century,post medieval,,,,,,,,,,,
archaeol1-59249,20th century,medieval,post medieval,,,,,,,,,,
archaeol1-60429,20th century,post medieval,,,,,,,,,,,
archaeol1-60884,20th century,post medieval,,,,,,,,,,,
archaeol1-62270,20th century,post medieval,,,,,,,,,,,
archaeol16-85659,20th century,,,,,,,,,,,,
archaeol1-74575,20th century,post medieval,,,,,,,,,,,
archaeol1-85062,20th century,iron age,post medieval,,,,,,,,,,
archaeol1-94075,20th century,post medieval,,,,,,,,,,,
archaeol20-128202,20th century,,,,,,,,,,,,
archaeol20-218728,20th century,,,,,,,,,,,,
archaeol20-331713,20th century,medieval,post medieval,,,,,,,,,,
archaeol2-101059,20th century,medieval,,,,,,,,,,,
archaeol2-109176,20th century,,,,,,,,,,,,
archaeol2-145342,20th century,,,,,,,,,,,,
archaeol2-23694,20th century,,,,,,,,,,,,
archaeol2-23704,20th century,post medieval,,,,,,,,,,,
archaeol2-23883,20th century,post medieval,,,,,,,,,,,
archaeol2-23957,20th century,early medieval,medieval,post medieval,roman,,,,,,,,
archaeol2-23970,20th century,,,,,,,,,,,,
archaeol2-24262,20th century,post medieval,,,,,,,,,,,
archaeol2-24303,20th century,iron age,late iron age,medieval,roman,,,,,,,,
archaeol2-24343,20th century,,,,,,,,,,,,
archaeol2-24350,20th century,medieval,post medieval,,,,,,,,,,
archaeol2-24431,20th century,,,,,,,,,,,,
archaeol2-24604,20th century,,,,,,,,,,,,
archaeol2-25057,20th century,,,,,,,,,,,,
archaeol2-25143,20th century,,,,,,,,,,,,
archaeol2-25146,20th century,post medieval,,,,,,,,,,,
archaeol2-25197,20th century,medieval,post medieval,,,,,,,,,,
archaeol2-25230,20th century,roman,,,,,,,,,,,
archaeol2-25235,20th century,,,,,,,,,,,,
archaeol2-25243,20th century,medieval,post medieval,,,,,,,,,,
archaeol2-25267,20th century,later prehistoric,,,,,,,,,,,
archaeol2-25274,20th century,later prehistoric,,,,,,,,,,,
archaeol2-25350,20th century,post medieval,,,,,,,,,,,
archaeol2-25367,20th century,early medieval,late iron age,medieval,post medieval,roman,,,,,,,
