OASIS Ids,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,period 9,period 10,period 11,period 12
preconst1-26187,EARLY IRON AGE,EARLY MEDIEVAL,EARLY NEOLITHIC,LATE BRONZE AGE,LATE MESOLITHIC,LATE NEOLITHIC,LATER PREHISTORIC,MEDIEVAL,MIDDLE BRONZE AGE,MIDDLE IRON AGE,POST MEDIEVAL,ROMAN
110archa1-221647,no period,,,,,,,,,,,
110archa1-221765,no period,,,,,,,,,,,
a1archae1-81862,IRON AGE,,,,,,,,,,,
abartlet1-253111,no period,,,,,,,,,,,
abartlet1-256195,UNCERTAIN,,,,,,,,,,,
abartlet1-256947,no period,,,,,,,,,,,
abartlet1-257184,UNCERTAIN,,,,,,,,,,,
abartlet1-257264,UNCERTAIN,,,,,,,,,,,
abartlet1-257365,no period,,,,,,,,,,,
abartlet1-257413,UNCERTAIN,,,,,,,,,,,
abartlet1-257451,UNCERTAIN,,,,,,,,,,,
abartlet1-257467,UNCERTAIN,,,,,,,,,,,
abartlet1-257523,MEDIEVAL,UNCERTAIN,,,,,,,,,,
abartlet1-257557,UNCERTAIN,,,,,,,,,,,
abartlet1-257715,LATER PREHISTORIC,,,,,,,,,,,
abartlet1-257815,no period,,,,,,,,,,,
abartlet1-257844,UNCERTAIN,,,,,,,,,,,
abartlet1-257877,no period,,,,,,,,,,,
abartlet1-257899,UNCERTAIN,,,,,,,,,,,
abartlet1-258083,no period,,,,,,,,,,,
abartlet1-258224,no period,,,,,,,,,,,
abartlet1-258310,UNCERTAIN,,,,,,,,,,,
abartlet1-258362,UNCERTAIN,,,,,,,,,,,
abartlet1-258721,UNCERTAIN,,,,,,,,,,,
abartlet1-258898,POST MEDIEVAL,UNCERTAIN,,,,,,,,,,
abartlet1-278487,UNCERTAIN,,,,,,,,,,,
aberdeen3-113456,Post Medieval,,,,,,,,,,,
aberdeen3-113468,Post Medieval,,,,,,,,,,,
aberdeen3-113478,Post Medieval,,,,,,,,,,,
aberdeen3-34973,no period,,,,,,,,,,,
aberdeen3-35013,no period,,,,,,,,,,,
aberdeen3-38222,Period Unknown,,,,,,,,,,,
aberdeen3-38233,Medieval,Post Medieval,,,,,,,,,,
aberdeen3-41932,no period,,,,,,,,,,,
aberdeen3-48098,Post Medieval,,,,,,,,,,,
aberdeen3-48099,Post Medieval,,,,,,,,,,,
aberdeen3-48499,no period,,,,,,,,,,,
aberdeen3-48500,Post Medieval,,,,,,,,,,,
aberdeen3-48508,no period,,,,,,,,,,,
aberdeen3-48512,20th Century,Post Medieval,,,,,,,,,,
aberdeen3-48515,no period,,,,,,,,,,,
aberdeen3-48521,20th Century,,,,,,,,,,,
aberdeen3-48523,no period,,,,,,,,,,,
aberdeen3-50363,Post Medieval,,,,,,,,,,,
aberdeen3-50384,no period,,,,,,,,,,,
aberdeen3-50390,no period,,,,,,,,,,,
aberdeen3-53326,Post Medieval,,,,,,,,,,,
aberdeen3-53366,no period,,,,,,,,,,,
aberdeen3-53442,no period,,,,,,,,,,,
aberdeen3-53466,Bronze Age,Period Unknown,,,,,,,,,,
