oasis ids,period 1,period 2,period 3,period 4,period 5,period 6,period 7,period 8,period 9,period 10,period 11,period 12,Text files
110archa1-221647,,,,,,,,,,,,,
110archa1-221765,,,,,,,,,,,,,
abartlet1-253111,,,,,,,,,,,,,
abartlet1-256195,,,,,,,,,,,,,
abartlet1-256947,,,,,,,,,,,,,
abartlet1-257184,,,,,,,,,,,,,
abartlet1-257264,,,,,,,,,,,,,
abartlet1-257365,,,,,,,,,,,,,
abartlet1-257413,,,,,,,,,,,,,
abartlet1-257451,,,,,,,,,,,,,
abartlet1-257467,,,,,,,,,,,,,
abartlet1-257557,,,,,,,,,,,,,
abartlet1-257815,,,,,,,,,,,,,
abartlet1-257844,,,,,,,,,,,,,
abartlet1-257877,,,,,,,,,,,,,
abartlet1-257899,,,,,,,,,,,,,
abartlet1-258083,,,,,,,,,,,,,
abartlet1-258224,,,,,,,,,,,,,
abartlet1-258310,,,,,,,,,,,,,
abartlet1-258362,,,,,,,,,,,,,
abartlet1-258721,,,,,,,,,,,,,
abartlet1-278487,,,,,,,,,,,,,
aberdeen3-34973,,,,,,,,,,,,,
aberdeen3-35013,,,,,,,,,,,,,
aberdeen3-38222,,,,,,,,,,,,,
aberdeen3-41932,,,,,,,,,,,,,
aberdeen3-48499,,,,,,,,,,,,,
aberdeen3-48508,,,,,,,,,,,,,
aberdeen3-48515,,,,,,,,,,,,,
aberdeen3-48523,,,,,,,,,,,,,
aberdeen3-50384,,,,,,,,,,,,,
aberdeen3-50390,,,,,,,,,,,,,
aberdeen3-53366,,,,,,,,,,,,,
aberdeen3-53442,,,,,,,,,,,,,
aberdeen3-59467,,,,,,,,,,,,,
aberdeen3-59472,,,,,,,,,,,,,
aberdeen3-59548,,,,,,,,,,,,,
aberdeen3-59550,,,,,,,,,,,,,
aberdeen3-59552,,,,,,,,,,,,,
aberdeen3-63056,,,,,,,,,,,,,
aberdeen3-63061,,,,,,,,,,,,,
aberdeen3-65964,,,,,,,,,,,,,
aberdeen3-74862,,,,,,,,,,,,,
aberdeen3-74894,,,,,,,,,,,,,
abherita1-138193,,,,,,,,,,,,,
abherita1-145435,,,,,,,,,,,,,
abherita1-164453,,,,,,,,,,,,,
abherita1-165129,,,,,,,,,,,,,
abherita1-165169,,,,,,,,,,,,,
abherita1-165227,,,,,,,,,,,,,
abherita1-184175,,,,,,,,,,,,,
abherita1-184270,,,,,,,,,,,,,
abherita1-184432,,,,,,,,,,,,,
abherita1-184492,,,,,,,,,,,,,
abherita1-184520,,,,,,,,,,,,,
abherita1-184541,,,,,,,,,,,,,
abherita1-184563,,,,,,,,,,,,,
abherita1-185529,,,,,,,,,,,,,
abherita1-187549,,,,,,,,,,,,,
abherita1-195778,,,,,,,,,,,,,
abherita1-195866,,,,,,,,,,,,,
abherita1-195883,,,,,,,,,,,,,
abherita1-195907,,,,,,,,,,,,,
abherita1-200161,,,,,,,,,,,,,
abherita1-201585,,,,,,,,,,,,,
abherita1-207951,,,,,,,,,,,,,
abherita1-208010,,,,,,,,,,,,,
abherita1-208023,,,,,,,,,,,,,
abherita1-208033,,,,,,,,,,,,,
abherita1-208082,,,,,,,,,,,,,
abherita1-209887,,,,,,,,,,,,,
abherita1-210179,,,,,,,,,,,,,
abherita1-210324,,,,,,,,,,,,,
abherita1-210383,,,,,,,,,,,,,
abherita1-211662,,,,,,,,,,,,,
abherita1-211674,,,,,,,,,,,,,
abherita1-212382,,,,,,,,,,,,,
abherita1-212385,,,,,,,,,,,,,
abherita1-213380,,,,,,,,,,,,,
abherita1-213388,,,,,,,,,,,,,
abherita1-216618,,,,,,,,,,,,,
abherita1-216633,,,,,,,,,,,,,
abherita1-217405,,,,,,,,,,,,,
abherita1-232624,,,,,,,,,,,,,
abherita1-239653,,,,,,,,,,,,,
abherita1-239672,,,,,,,,,,,,,
abherita1-239822,,,,,,,,,,,,,
abherita1-239842,,,,,,,,,,,,,
abherita1-239980,,,,,,,,,,,,,
abherita1-254716,,,,,,,,,,,,,
abherita1-254720,,,,,,,,,,,,,
abherita1-255050,,,,,,,,,,,,,
abherita1-255106,,,,,,,,,,,,,
abherita1-256791,,,,,,,,,,,,,
abherita1-257118,,,,,,,,,,,,,
abherita1-257125,,,,,,,,,,,,,
abherita1-257555,,,,,,,,,,,,,
abherita1-257616,,,,,,,,,,,,,
abherita1-257632,,,,,,,,,,,,,
abherita1-257795,,,,,,,,,,,,,
abherita1-257805,,,,,,,,,,,,,
abingdon1-108851,,,,,,,,,,,,,
abingdon1-194599,,,,,,,,,,,,,
abingdon1-199181,,,,,,,,,,,,,
abingdon1-202739,,,,,,,,,,,,,
abingdon1-203714,,,,,,,,,,,,,
abingdon1-211773,,,,,,,,,,,,,
abingdon1-225441,,,,,,,,,,,,,
acarchae2-101169,,,,,,,,,,,,,
acarchae2-101475,,,,,,,,,,,,,
acarchae2-102750,,,,,,,,,,,,,
acarchae2-102754,,,,,,,,,,,,,
acarchae2-102950,,,,,,,,,,,,,
acarchae2-103562,,,,,,,,,,,,,
